Time, C12_R_ch1, C12_R_ch2, P12_W_ch1, P12_W_ch2
21.6096, 60, 76, 60, 76
21.8402, 60, 76, 60, 76
21.9183, 60, 76, 39, 76
21.9497, 39, 76, 39, 76
22.0317, 39, 76, 39, 76
22.0861, 39, 76, 39, 12
22.1450, 39, 12, 39, 12
22.4157, 39, 12, 39, 12
22.5161, 39, 12, 86, 12
22.6390, 86, 12, 86, 12
22.6972, 86, 12, 86, 12
22.7218, 86, 94, 86, 12
22.7812, 86, 94, 86, 94
22.9665, 86, 94, 86, 94
23.0895, 86, 94, 95, 94
23.2207, 95, 94, 95, 94
23.3252, 95, 94, 95, 94
23.3567, 95, 70, 95, 94
23.3910, 95, 70, 95, 70
23.6606, 95, 70, 95, 70
23.7324, 95, 70, 78, 70
23.8408, 78, 70, 78, 70
23.9024, 78, 70, 78, 70
23.9263, 78, 67, 78, 70
23.9898, 78, 67, 78, 67
24.1916, 78, 67, 78, 67
24.3161, 78, 67, 97, 67
24.4269, 97, 67, 97, 67
24.5153, 97, 67, 97, 67
24.5404, 97, 2, 97, 67
24.5720, 97, 2, 97, 2
24.8271, 97, 2, 97, 2
24.9632, 97, 2, 92, 2
25.0225, 92, 2, 92, 2
25.1596, 92, 2, 92, 2
25.1908, 92, 52, 92, 2
25.2246, 92, 52, 92, 52
25.5097, 92, 52, 92, 52
25.6269, 92, 52, 1, 52
25.6305, 1, 52, 1, 52
25.7431, 1, 52, 1, 52
25.7947, 1, 52, 1, 80
25.8454, 1, 80, 1, 80
26.6632, 1, 80, 1, 80
27.8721, 1, 80, 41, 80
28.0210, 41, 80, 41, 80
28.1179, 41, 80, 41, 80
28.1611, 41, 65, 41, 80
28.2219, 41, 65, 41, 65
28.6348, 41, 65, 41, 65
28.8075, 41, 65, 44, 65
28.8210, 44, 65, 44, 65
28.8941, 44, 65, 44, 65
28.9275, 44, 19, 44, 65
28.9462, 44, 19, 44, 19
29.2369, 44, 19, 44, 19
29.4776, 29, 19, 44, 19
29.7252, 29, 19, 44, 19
29.4046, 29, 19, 29, 19
29.8797, 29, 19, 29, 31
29.9377, 29, 31, 29, 31
30.3893, 29, 31, 29, 31
30.6527, 29, 31, 97, 31
30.7385, 97, 31, 97, 31
30.8105, 97, 31, 97, 31
30.8400, 97, 71, 97, 31
30.9229, 97, 71, 97, 71
31.3219, 97, 71, 97, 71
31.4481, 97, 71, 75, 71
31.5748, 75, 71, 75, 71
31.6629, 75, 71, 75, 71
31.6954, 75, 9, 75, 71
31.7390, 75, 9, 75, 9
31.9540, 75, 9, 75, 9
32.1299, 75, 9, 67, 9
32.1878, 67, 9, 67, 9
32.2930, 67, 9, 67, 9
32.3692, 67, 9, 67, 56
32.4009, 67, 56, 67, 56
32.7257, 67, 56, 67, 56
32.9114, 67, 56, 53, 56
33.0471, 53, 56, 53, 56
33.1615, 53, 56, 53, 56
33.2179, 53, 86, 53, 56
33.2811, 53, 86, 53, 86
33.8259, 53, 86, 53, 86
34.1434, 53, 86, 6, 86
34.1836, 6, 86, 6, 86
34.2606, 6, 86, 6, 86
34.3269, 6, 86, 6, 83
34.4689, 6, 83, 6, 83
34.9066, 6, 83, 6, 83
35.0989, 6, 83, 24, 83
35.2221, 24, 83, 24, 83
35.3044, 24, 83, 24, 83
35.3334, 24, 28, 24, 83
35.3685, 24, 28, 24, 28
35.6495, 24, 28, 24, 28
35.8584, 24, 28, 32, 28
35.9490, 32, 28, 32, 28
36.1391, 32, 28, 32, 28
36.1735, 32, 29, 32, 28
36.2408, 32, 29, 32, 29
36.5127, 32, 29, 32, 29
36.6566, 32, 29, 19, 29
36.7688, 19, 29, 19, 29
36.8789, 19, 29, 19, 29
36.9112, 19, 70, 19, 29
36.9568, 19, 70, 19, 70
37.3276, 19, 70, 19, 70
37.4069, 19, 70, 8, 70
37.5702, 8, 70, 8, 70
37.7246, 8, 70, 8, 70
37.7561, 8, 15, 8, 70
37.8079, 8, 15, 8, 15
38.0557, 8, 15, 8, 15
38.1136, 8, 15, 49, 15
38.1460, 49, 15, 49, 15
38.2375, 49, 15, 49, 15
38.2787, 49, 15, 49, 96
38.2955, 49, 96, 49, 96
38.5654, 49, 96, 49, 96
38.6978, 49, 96, 18, 96
38.7588, 18, 96, 18, 96
38.8189, 18, 96, 18, 96
38.8504, 18, 45, 18, 96
38.9127, 18, 45, 18, 45
39.1439, 18, 45, 18, 45
39.2054, 18, 45, 51, 45
39.2374, 51, 45, 51, 45
39.2902, 51, 45, 51, 45
39.3478, 51, 45, 51, 21
39.3740, 51, 21, 51, 21
39.6577, 51, 21, 51, 21
39.7830, 51, 21, 79, 21
39.8460, 79, 21, 79, 21
39.9075, 79, 21, 79, 21
39.9408, 79, 88, 79, 21
40.0074, 79, 88, 79, 88
40.2615, 79, 88, 79, 88
40.5271, 79, 88, 28, 88
40.5412, 28, 88, 28, 88
40.6508, 28, 88, 28, 88
40.7185, 28, 88, 28, 41
40.7664, 28, 41, 28, 41
41.1101, 28, 41, 28, 41
41.2597, 28, 41, 93, 41
41.3801, 93, 41, 93, 41
41.4851, 93, 41, 93, 41
41.5181, 93, 0, 93, 41
41.6462, 93, 0, 93, 0
41.8275, 93, 0, 93, 0
41.9585, 93, 0, 64, 0
42.0631, 64, 0, 64, 0
42.1319, 64, 0, 64, 0
42.1547, 64, 24, 64, 0
42.1942, 64, 24, 64, 24
42.3799, 64, 24, 64, 24
42.4935, 64, 24, 87, 24
42.5999, 87, 24, 87, 24
42.6900, 87, 24, 87, 24
42.7121, 87, 56, 87, 24
42.7534, 87, 56, 87, 56
43.0329, 87, 56, 87, 56
43.0641, 91, 56, 87, 56
43.1407, 91, 56, 87, 56
43.1712, 91, 56, 91, 56
43.2936, 91, 56, 91, 27
43.3236, 91, 27, 91, 27
43.6436, 91, 27, 91, 27
43.6745, 59, 27, 91, 27
43.7519, 59, 27, 91, 27
43.7849, 59, 27, 59, 27
43.8932, 59, 27, 59, 36
43.9269, 59, 36, 59, 36
44.2711, 59, 36, 59, 36
44.4254, 59, 36, 51, 36
44.5304, 51, 36, 51, 36
44.6210, 51, 36, 51, 36
44.6443, 51, 37, 51, 36
44.6859, 51, 37, 51, 37
44.8830, 51, 37, 51, 37
45.0018, 51, 37, 75, 37
45.1124, 75, 37, 75, 37
45.1977, 75, 37, 75, 37
45.2203, 75, 7, 75, 37
45.2619, 75, 7, 75, 7
45.5087, 75, 7, 75, 7
45.7164, 75, 7, 21, 7
45.8362, 21, 7, 21, 7
45.9311, 21, 7, 21, 7
45.9539, 21, 58, 21, 7
45.9977, 21, 58, 21, 58
46.2995, 21, 58, 21, 58
46.3300, 29, 58, 21, 58
46.4106, 29, 58, 21, 58
46.4441, 29, 58, 29, 58
46.5600, 29, 58, 29, 37
46.5965, 29, 37, 29, 37
46.8880, 29, 37, 29, 37
46.9414, 29, 37, 93, 37
47.0415, 93, 37, 93, 37
47.1222, 93, 37, 93, 37
47.1500, 93, 18, 93, 37
47.1832, 93, 18, 93, 18
47.4405, 93, 18, 93, 18
47.5788, 93, 18, 43, 18
47.6191, 43, 18, 43, 18
47.7016, 43, 18, 43, 18
47.7613, 43, 18, 43, 11
47.7774, 43, 11, 43, 11
48.0453, 43, 11, 43, 11
48.1997, 43, 11, 29, 11
48.3163, 29, 11, 29, 11
48.3898, 29, 11, 29, 11
48.4216, 29, 76, 29, 11
48.4852, 29, 76, 29, 76
48.7383, 29, 76, 29, 76
49.2095, 29, 76, 43, 76
49.7646, 43, 76, 43, 76
51.5195, 43, 76, 43, 76
51.6025, 43, 63, 43, 76
51.8019, 43, 63, 43, 63
52.1057, 43, 63, 43, 63
52.2151, 43, 63, 38, 63
52.3003, 38, 63, 38, 63
52.4287, 38, 63, 38, 63
52.4768, 38, 6, 38, 63
52.6004, 38, 6, 38, 6
52.7697, 38, 6, 38, 6
52.9447, 38, 6, 4, 6
53.0011, 4, 6, 4, 6
53.0711, 4, 6, 4, 6
53.1017, 4, 18, 4, 6
53.2134, 4, 18, 4, 18
53.3739, 4, 18, 4, 18
53.5822, 4, 18, 88, 18
53.6770, 88, 18, 88, 18
53.7506, 88, 18, 88, 18
53.7832, 88, 69, 88, 18
53.8023, 88, 69, 88, 69
54.1661, 88, 69, 88, 69
54.2955, 88, 69, 17, 69
54.4061, 17, 69, 17, 69
54.5073, 17, 69, 17, 69
54.5406, 17, 96, 17, 69
54.6785, 17, 96, 17, 96
54.8833, 17, 96, 17, 96
55.2618, 17, 96, 43, 96
55.3074, 43, 96, 43, 96
55.4237, 43, 96, 43, 96
55.5357, 43, 96, 43, 70
55.5887, 43, 70, 43, 70
56.0902, 43, 70, 43, 70
56.2367, 43, 70, 90, 70
56.3744, 90, 70, 90, 70
56.4558, 90, 70, 90, 70
56.4919, 90, 99, 90, 70
56.5210, 90, 99, 90, 99
