Time, C12_R_ch1, C12_R_ch2, C122_R_ch12, C122_R_ch22, P12_W_ch1, P12_W_ch2, P122_W_ch12, P122_W_ch22
10.4253, 25, 84, 81, 5, 25, 84, 81, 5
10.5866, 25, 84, 81, 5, 25, 84, 81, 5
10.6671, 25, 84, 81, 5, 25, 84, 81, 5
10.7802, 25, 84, 81, 5, 13, 84, 81, 5
10.7908, 25, 84, 81, 5, 13, 84, 46, 5
10.9332, 13, 84, 81, 5, 13, 84, 46, 5
10.9958, 13, 84, 46, 5, 13, 84, 46, 5
11.0357, 13, 84, 46, 5, 13, 84, 46, 5
11.0448, 13, 57, 46, 5, 13, 84, 46, 5
11.0630, 13, 57, 46, 5, 13, 84, 46, 5
11.0887, 13, 57, 46, 29, 13, 84, 46, 5
11.1332, 13, 57, 46, 29, 13, 57, 46, 5
11.2319, 13, 57, 46, 29, 13, 57, 46, 29
11.4511, 13, 57, 46, 29, 13, 57, 46, 29
11.5434, 13, 57, 46, 29, 13, 57, 46, 29
11.5449, 13, 57, 46, 29, 45, 57, 46, 29
11.5494, 45, 57, 46, 29, 45, 57, 46, 29
11.7775, 45, 57, 46, 29, 45, 57, 67, 29
11.8412, 45, 57, 46, 29, 45, 57, 67, 29
11.8577, 45, 57, 46, 29, 45, 14, 67, 29
11.8714, 45, 14, 46, 29, 45, 14, 67, 29
11.8736, 45, 14, 67, 29, 45, 14, 67, 29
12.0269, 45, 14, 67, 29, 45, 14, 67, 29
12.1002, 45, 14, 67, 34, 45, 14, 67, 29
12.1305, 45, 14, 67, 34, 45, 14, 67, 34
12.4267, 45, 14, 67, 34, 45, 14, 67, 34
12.5179, 45, 14, 67, 34, 45, 14, 67, 34
12.5396, 87, 14, 67, 34, 45, 14, 67, 34
12.6003, 87, 14, 67, 34, 87, 14, 67, 34
12.6171, 87, 14, 67, 34, 87, 14, 76, 34
12.6348, 87, 14, 67, 34, 87, 14, 76, 34
12.7627, 87, 14, 76, 34, 87, 14, 76, 34
12.7802, 87, 14, 76, 34, 87, 8, 76, 34
12.8369, 87, 14, 76, 34, 87, 8, 76, 34
12.8608, 87, 8, 76, 34, 87, 8, 76, 34
12.8611, 87, 8, 76, 78, 87, 8, 76, 34
12.9584, 87, 8, 76, 78, 87, 8, 76, 78
13.4505, 87, 8, 76, 78, 87, 8, 76, 78
13.4522, 87, 8, 76, 78, 87, 8, 76, 78
13.4610, 87, 8, 99, 78, 87, 8, 76, 78
13.4771, 87, 8, 99, 78, 51, 8, 76, 78
13.5090, 87, 8, 99, 78, 51, 8, 99, 78
13.8862, 51, 8, 99, 78, 51, 8, 99, 78
13.9292, 51, 8, 99, 78, 51, 8, 99, 78
13.9313, 51, 8, 99, 78, 51, 8, 99, 78
13.9580, 51, 54, 99, 78, 51, 8, 99, 78
13.9614, 51, 54, 99, 32, 51, 8, 99, 78
14.0230, 51, 54, 99, 32, 51, 8, 99, 32
14.1515, 51, 54, 99, 32, 51, 54, 99, 32
14.3153, 51, 54, 99, 32, 51, 54, 99, 32
14.5462, 51, 54, 99, 32, 26, 54, 99, 32
14.6674, 51, 54, 99, 32, 26, 54, 99, 32
14.7005, 26, 54, 99, 32, 26, 54, 99, 32
14.7072, 26, 54, 39, 32, 26, 54, 99, 32
14.8452, 26, 54, 39, 32, 26, 54, 99, 32
14.8811, 26, 54, 39, 32, 26, 54, 39, 32
14.8965, 26, 86, 39, 32, 26, 54, 39, 32
14.9558, 26, 86, 39, 32, 26, 54, 39, 32
14.9960, 26, 86, 39, 12, 26, 54, 39, 32
15.0283, 26, 86, 39, 12, 26, 86, 39, 32
15.1051, 26, 86, 39, 12, 26, 86, 39, 12
15.2860, 26, 86, 39, 12, 26, 86, 39, 12
15.3642, 26, 86, 39, 12, 26, 86, 39, 12
15.5827, 26, 86, 39, 12, 26, 86, 70, 12
15.5884, 26, 86, 39, 12, 78, 86, 70, 12
15.6061, 78, 86, 39, 12, 78, 86, 70, 12
15.6230, 78, 86, 70, 12, 78, 86, 70, 12
15.7251, 78, 86, 70, 12, 78, 86, 70, 12
15.7769, 78, 86, 70, 12, 78, 86, 70, 12
15.8228, 78, 86, 70, 12, 78, 86, 70, 34
